1035425	2504138,2643274,2704830,2312494,2120671,c27209,2687480,2681940,2596221,2265781,2148374,1695762
1035957	2278340,2165364,2180190,2180188,2515147,1922144,2596300,2269167,2515186,1708225,2515228,2596305,2309414,2242408,2515132,1580726,1035959,2515659,1767812,2247223,2014878,2521848,1152035,1772542,1767828,2596288,2596294,2269171,2266195,667966,2053108,2341162,711384,2180174,2014813,1944597,2014724,1912809,1527514
1037577	1037572,2587121,2586739,2586695,2376324,2148478,1999790,2586730,960000,959993,2586722,2586710,2000554,2586627,2302553,2586703,2586233,2000517,1999798,1534782,1206227,1037585,1037569
1037658	1411316,1603606,1603607,959894,2398944,2398936
1038512	2279886,1992092,1871804,2194464,1938219,2222188,1731446,1614653,2280098,2222275,2222198,2222194,898187,2079016,1501947,1038544,1038516,2280543,2228181,1986119,1731498,c24574,2297626,2295743,2292883,2228164,2222279,2154184,1993076,1871761,1038583
1040438	c28575,1040426,1040423,1038684,1025572,1020640,c27165,1175460,1175457,1175433,1011048,1011036,1011033,1011032,1011029,1011027
1040889	1041144,1040895,1041130,2555447,972733,1672989,1581998,2533970,2321042,1672990
1041130	972733,2321042,1672989,1041144,1040895,1040889,2555447,2533970,1672990,738058,1581998,1043089,2530745,1013145,1013078
1048683	1048690,1048688,1048689,c27045,c1157950,1048769
1050653	1766634,1655367,2403226,958219,2374642,c890950,1794823,c36533,2505831,2626238,2487662,2448907,c25754,2277587,2277384,2174158,2662092,2273241,2129633,2374671,2306757,2455662,1135162,2139416,2455654,2698652,2566853,c24997,2130433,976426,2504630,2455651,1293105,980092,1049777,958214,1609601,2278818,388767,c1277955,2526044,c24999,c17070,c17069,2383892,2381015,2091266,2249918,c470957,c470955,2318800,2278800,2003951,c718951,825463,2681255,2566785,c1277953,449339,2648150,2615985,2447665,2322628,2278805,2268740,2130162,1711563,1078797,c952951,c890951,c31199,c1193955,2617573,2603035,2539232,2305059,2130192,2051886
1058484	1058478,2209395,1058482,2399984,2265548,2076623,1889303,1058463,2479859,2479483,1978688,1689210,1578021,1058473
1066827	1188576,2292970,2247176,2404027,2051627,1405990,2600918,2438177,2404820,2396754,236921,2324970,2309024,2091691,1406101,1188665
1078248	1078198
