2852628	3076005
2857335	2857327
2862681	3004003
2863734	2866794,2863670
2871834	2963194
2874426	3209353
2877513	2877539,3001865,2877578,2924580,2877605
2878279	2878114,2878077,2878096,2878234,2877963,2878216,2877933,2878006,2877994,3082338,2878060,2878045,3082350,2686310,3082308,3081947,2686312,2686307,3081955,3062149,2896736,2885300,1792319,1792206
2884560	176644,2469871
2891850	2891843,2891833
2892246	3004370,2892274,2892262,3068777,3066323,2892284,2889210
2897034	2897023,2897031,2897032,2897028,2896715,2940891,2924806,2897035,2940981,2940914,2897015,197226
2900606	3089612,2900293
2901786	2976752,2976597,2976533,2976483,2976619,2976771,2976449
2901948	2272877
2907465	2907536
2909328	2909327,3069636,2909324
2909823	2948668,3041201,3041175,3075396,2739218
2910407	2978704,2978745
2911136	3041409,2911103
2914142	2845595,2845379
2918733	2918676,2918655,2916830,2918896,2916679,2918839,2916461,2918867,1174799
2918814	2918786,2917264,2918859,2896997
2919462	2915225
2919499	2919138,2875759
2920992	2571839
2924024	3039896
2924637	2897028,197225
2925780	2925778,2926142,2234852,2926140,2925781
2926301	2071567
2927067	2926995,2927036,2927167,2927138,2927049,2927971,2928015,2938046,2927992,2938013,2928027,2938036,2927400,2927222,2938706,2938061,2927401,2945055,2938701,2927984,2927408,2927395,2927193,2938698,2938176,2927608,2938288,2938112,2927726,2927520,2927437,2927429,2688934
2927481	2927421,2927408,2939666,2937991
2928534	2928620,2376324
2932656	2931731,2932340,2932328,2927393,2932695,2931687,2957447,2938705,2936271,2936229,2931772,3006896,2938453,2935414,2927404
2933880	2933892
2935211	2928472
2938416	2938382,2938358
2939226	2935757,2935393,2941579,2940381,2935856,2935663,2940671,2935689,2935116,2935799,2935268,2940327,2940305,2935241,2939157,2939140,2941708,2935961,2939200,2939176,2935922,2935715,2935350,2941599,2945101,2940578,2939095,2935996,2927937,2942082
2939839	2940305,2935350,2935116,2941599,2935393,2940327,2941579,2939176,2935241,2940381,2935663,2939095,2935188,2941708,2939200,2935377,2939157,2935799,2935757,2941801,2940671,2940601,2939140,2935224,2934182,2941890,2940404,2935922,2935856,2935689,2935268,2942082,2935715,2939248,2939111,2935749,2935327,2586942,2942036,2941007,2939859,2935645,2935364
2940305	2935116,2941599,2941579,2940327,2935757,2939157,2935393,2939839,2941708,2935663,2935241,2940381,2939095,2940671,2935689,2935799,2935268,2941801,2935377,2939226,2939200,2939176,2935224,2942082,2935856,2935350,2935961,2941890,2939859,2935715,2942036,2935188,2935922,2941773,2939140,2941871,2939248,2940404,2935364,2934182,2954267,2942224,2940601,2939111,2936036,2935749,2935645,2935327
2942989	2935386
2944239	3008095
2946967	3079850,3046013
2947083	2904411,2988136,3081766
2948668	2692212
2949108	1993118,2729767
2949603	2949879
2951330	3233264
2952258	2961702,2952246,2952952,2962177,2962173
2954292	2954862
2955840	2954289,2918434,2875777,2918596,2918964
2955877	2896927,3046040,2896980
2956074	2545107
2957460	3086346,2955111,2957447,2957304,2945579,2956742,2956555,3086294,2956957,2955613,2955070,2950803,2943589,2957033,2955456
2959936	2959935
2964093	3058535,3051973
2964174	3020644,3201548,2964201,2978544
2966037	2966011,2965978,2966020,3058606,2966106,2962819,3058625,2978185,2965953,2965067,2962842,2643729,2325122,2324998
2967379	2967406,2514574,2514415,2967393
2970573	3216604,2970598,2949545
2973246	2973296,2897457,2973448,2972245,2973022,2957977,2936292
2974056	2974014,2974100,2974072,2972624
2975280	2973570,2964539
2980536	2980511,3023832,2980444,2980424,2980362,2980345,2980477,2980378,3023819,3023825,3023600,3023608,3023364,3023304,3023318,3023212,3023197,3022340,3023611,3023257,3024039,3023850,3023755,3023334,3023616,3029421,3023224
2987601	3077909,2914391,3077890
2988448	2751264,1074138,2988682
2989177	3056481,3013814
2993794	1043089
2995206	2995194
2996881	3024278
2996999	2997053,2997040
2997691	2997681
2998744	2998732
2999022	2998958,2998734,2998934
3001829	3001865,3001867
3002477	3041028,3031282
3003287	2873639
3003863	3001822,3001872,3001861
3004060	3003856,3003838,3003873,2981595,3003854,2924626
3006004	3006060,2841240
3009461	3009332,3013986
3009542	3032450,3031274
3010045	2583279
3012197	2894196,3001653,1872669,3001649,3052195,3017936,3001596,2893804,2805607,2671169,3070915,3070570,3052236,3052073,2759153,2758298
3014104	3069672
3017561	815007,3070546,2556878
3021151	2774683
3021232	2944616,3021398,3021271
3024356	3024463,3024401,3024391,3055196,3025417,3060295,3060278,3025859,3029645,3029430,3024422,3060057,3029599,3000326,3060195,3055205,3041263,3041261,3030148,3024409,2956539
3026020	3026033,3026013,3000669,3000647,3046085,3026018
3032294	3032298,2891920,3084881
3034652	2897457,2897443,2897015,1132601,3197637,3106351,2897033,2868769,2868692
3034689	3034711
